count,aX,aY,aZ,gX,gY,gZ
48,-0.841,0.436,1.528,-6.165,208.069,253.662
49,-0.903,0.576,1.328,2.991,243.896,257.446
50,-0.961,0.781,1.089,8.179,276.489,261.108
51,-0.984,1.02,0.866,6.104,302.979,261.78
52,-0.993,1.26,0.638,3.967,322.876,257.751
53,-0.946,1.486,0.444,-0.671,337.158,248.84
54,-0.87,1.659,0.263,-7.69,347.351,233.765
55,-0.79,1.767,0.062,-14.526,358.826,212.036
56,-0.737,1.832,-0.16,-27.954,369.69,186.523
57,-0.658,1.857,-0.409,-42.175,377.93,158.63
58,-0.61,1.846,-0.667,-55.42,382.019,129.639
59,-0.527,1.812,-0.941,-67.81,380.737,101.196
60,-0.449,1.751,-1.185,-74.341,369.324,73.364
61,-0.377,1.669,-1.394,-81.726,349.426,47.607
62,-0.278,1.574,-1.552,-85.327,324.707,24.597
63,-0.206,1.45,-1.671,-81.604,296.509,3.784
64,-0.16,1.309,-1.773,-73.669,268.494,-14.343
65,-0.124,1.172,-1.775,-63.477,245.117,-29.724
66,-0.08,1.049,-1.738,-52.979,223.999,-41.626
67,-0.047,0.97,-1.678,-42.664,206.543,-49.927
68,-0.024,0.918,-1.609,-38.086,192.993,-56.335
69,-0.002,0.862,-1.553,-37.781,183.044,-62.622
70,0.029,0.769,-1.544,-39.978,177.246,-69.885
71,0.043,0.64,-1.587,-43.457,173.523,-76.782
72,0.048,0.507,-1.665,-46.448,169.983,-82.092
73,0.062,0.407,-1.761,-46.082,165.222,-84.351
74,0.079,0.346,-1.882,-42.053,158.813,-83.984
75,0.086,0.331,-2.021,-36.682,149.658,-81.909
76,0.109,0.355,-2.158,-31.25,136.475,-79.773
77,0.122,0.379,-2.284,-25.879,120.056,-78.796
78,0.145,0.341,-2.351,-25.024,98.999,-80.383
79,0.156,0.16,-2.34,-28.809,74.829,-83.374
80,0.176,-0.053,-2.235,-32.715,50.11,-84.167
81,0.206,-0.211,-2.056,-37.415,26.489,-80.017
82,0.233,-0.315,-1.847,-31.311,6.653,-73.364
83,0.25,-0.311,-1.589,-31.982,-3.967,-63.354
84,0.283,-0.312,-1.425,-44.617,-12.634,-51.392
85,0.29,-0.295,-1.286,-43.701,-14.16,-41.809
86,0.292,-0.237,-1.175,-39.185,-11.902,-33.447
87,0.299,-0.151,-1.113,-32.41,-8.057,-26.733
88,0.3,-0.059,-1.082,-25.024,-3.54,-21.606
89,0.298,0.019,-1.08,-18.066,1.343,-18.86
90,0.294,0.068,-1.099,-12.085,5.127,-18.005
91,0.285,0.063,-1.122,-8.789,7.446,-18.677
92,0.273,0.016,-1.139,-7.507,7.935,-19.348
93,0.267,-0.031,-1.134,-7.446,7.324,-18.738
94,0.269,-0.054,-1.125,-7.263,6.042,-16.235
95,0.264,-0.067,-1.125,-6.897,4.7,-12.878
96,0.259,-0.075,-1.121,-6.409,3.357,-9.399
97,0.254,-0.066,-1.114,-4.883,1.953,-5.676
98,0.248,-0.032,-1.104,-2.686,0.732,-2.136
99,0.247,0.019,-1.081,-1.648,-0.549,1.526
100,0.249,0.084,-1.056,-1.648,-1.648,4.333
101,0.245,0.149,-1.038,-1.953,-2.441,5.92
102,0.24,0.211,-1.041,-1.953,-2.686,6.287
103,0.24,0.227,-1.055,-1.831,-3.113,5.127
104,0.254,0.21,-1.064,-2.075,-3.967,3.479
105,0.241,0.161,-1.074,-2.625,-5.188,2.197
106,0.243,0.123,-1.066,-4.15,-7.202,2.136
107,0.244,0.126,-1.046,-4.883,-9.888,3.845
108,0.246,0.157,-1.015,-4.211,-12.329,6.165
109,0.252,0.208,-0.969,-2.93,-13.733,7.935
